NUM SMILES S0S1 S0T1 S1T1 F12
083 c1cncc2cccc-2c1 2.3491 2.5672 -0.2181 0.0047361
084 c1cncc2ccnc-2c1 2.6891 2.6565 0.0326 0.0131486
085 c1cncc2cncc-2c1 2.1153 2.3347 -0.2194 0.0076206
086 c1cncc2cnnc-2c1 2.4997 2.7325 -0.2328 0.0073143
087 c1cncc2nccc-2c1 2.6806 2.7125 -0.0319 0.0020355
088 c1cncc2ncnc-2c1 3.0599 2.8477 0.2122 0.0044542
089 c1cncc2nncc-2c1 2.5007 2.6920 -0.1913 0.0075740
090 c1cncc2nnnc-2c1 2.8386 2.9300 -0.0914 0.0070321
091 c1cnnc2cccc-2c1 2.2735 2.2905 -0.017 0.0033087
092 c1cnnc2ccnc-2c1 2.5356 2.3685 0.1671 0.0025697
093 c1cnnc2cncc-2c1 2.0446 2.1434 -0.0988 0.0074918
094 c1cnnc2cnnc-2c1 2.5872 2.1934 0.3938 0.0048305
095 c1cnnc2nccc-2c1 2.6553 2.3910 0.2643 0.0073911
096 c1cnnc2ncnc-2c1 2.6751 2.2747 0.4004 0.0012586
097 c1cnnc2nncc-2c1 2.2382 2.0188 0.2194 0.0090755
098 c1cnnc2nnnc-2c1 2.4441 1.9675 0.4766 0.0058114
099 c1nc2cnnncc-2n1 2.8346 1.8122 1.0224 0.0537213
100 c1nc2cnnnnc-2n1 2.7984 1.9801 0.8183 0.0228544
101 c1nc2nnnnnc-2n1 3.1893 2.8947 0.2946 0.0000109
102 c1ncc2ccnc-2cn1 2.8403 2.8262 0.0141 0.0038324
103 c1ncc2ccnc-2nn1 2.5044 2.0362 0.4682 0.0078994
104 c1ncc2cncc-2cn1 2.3093 2.6487 -0.3394 0.0023496
105 c1ncc2cncc-2nn1 2.4612 2.0424 0.4188 0.0057856
106 c1ncc2cnnc-2cn1 2.7146 3.0076 -0.293 0.0006441
107 c1ncc2cnnc-2nn1 2.2570 1.7738 0.4832 0.0091928
108 c1ncc2cnnncc1-2 1.8862 1.6943 0.1919 0.0017843
109 c1ncc2nccc-2nn1 2.4791 2.0533 0.4258 0.0038058
110 c1ncc2ncnc-2cn1 3.1928 2.9570 0.2358 0.0007528
111 c1ncc2ncnc-2nn1 2.4558 1.9280 0.5278 0.0082790
112 c1ncc2nncc-2nn1 2.5746 2.0777 0.4969 0.0071349
113 c1ncc2nnnc-2cn1 3.0654 3.0371 0.0283 0.0002052
114 c1ncc2nnnc-2nn1 2.4115 1.8469 0.5646 0.0098374
115 c1ncc2nnnncc1-2 3.0280 2.0282 0.9998 0.0020027
116 c1ncc2nnnnnc1-2 3.3457 2.7935 0.5522 0.0000229
117 c1ncnc2cncc-2n1 0   
118 c1ncnc2nccc-2n1 2.1302 2.2319 -0.1017 0.0103567
119 c1ncnc2ncnc-2n1 2.4790 2.3334 0.1456 0.0006931
120 c1ncnc2nncc-2n1 1.9466 1.7181 0.2285 0.0006666
121 c1ncnc2nnnc-2n1 0   
122 c1nnc2ccnc-2nn1 2.5368 1.9976 0.5392 0.0123794
123 c1nnc2cncc-2nn1 2.1626 1.8568 0.3058 0.0013877
124 c1nnc2cnnc-2nn1 2.0719 1.7324 0.3395 0.0113275
125 c1nnc2ncnc-2nn1 2.4209 1.8860 0.5349 0.0088555
126 c1nnc2nnnc-2nn1 2.3448 1.8208 0.524 0.0163977
127 c1nnc2nnnnnc1-2 3.5053 3.1918 0.3135 0.0000115
128 c1nncc2cncc-2n1 1.9441 1.6455 0.2986 0.0100334
129 c1nncc2cnnc-2n1 1.9572 1.5101 0.4471 0.0058820
130 c1nncc2ncnc-2n1 2.2656 1.8676 0.398 0.0068971
131 c1nncc2nncc-2n1 2.1614 1.8804 0.281 0.0038286
132 c1nncc2nnnc-2n1 1.9177 1.4814 0.4363 0.0041817
133 c1nnnc2cncc-2n1 2.3975 1.7791 0.6184 0.0073777
134 c1nnnc2cnnc-2n1 2.4656 2.0326 0.433 0.0038029
135 c1nnnc2nccc-2n1 2.3387 2.0682 0.2705 0.0076444
136 c1nnnc2ncnc-2n1 2.4284 2.0787 0.3497 0.0067423
137 c1nnnc2nncc-2n1 2.0487 1.7615 0.2872 0.0012971
138 c1nnnc2nnnc-2n1 2.3171 1.9639 0.3532 0.0018132
139 c1nnncc2nncc1-2 2.4758 1.7487 0.7271 0.0160087
140 c1nnncc2nnnc1-2 2.5820 1.6790 0.903 0.0394411
141 c1nnnnc2cnnc1-2 2.8955 2.3890 0.5065 0.0019541
142 c1nnnnc2nncc1-2 2.5074 1.9673 0.5401 0.0019954
143 c1nnnnc2nnnc1-2 2.8056 2.0718 0.7338 0.0048849
144 n1nnc2nnnc-2nn1 3.5416 3.1867 0.3549 0.0000343
