NUM SMILES S0S1 S0T1 S1T1 F12
001 c1cc2ccnc-2ccn1 2.6135 2.3705 0.243 0.016868
002 c1cc2ccnc-2cnn1 2.6892 2.1611 0.5281 0.001562
003 c1cc2ccnc-2ncn1 2.5021 2.2504 0.2517 0.022888
004 c1cc2ccnc-2nnn1 2.4356 1.9661 0.4695 0.014277
005 c1cc2ccnccc-2c1 2.1963 2.0552 0.1411 0.012625
006 c1cc2ccncnc-2c1 2.0779 1.9027 0.1752 0.012628
007 c1cc2ccnncc-2c1 2.4053 2.1315 0.2738 0.009096
008 c1cc2ccnnnc-2c1 2.1042 1.8556 0.2486 0.007946
009 c1cc2cncc-2ccn1 1.9303 1.7545 0.1758 0.017459
010 c1cc2cncc-2cnn1 2.1905 1.8976 0.2929 0.014768
011 c1cc2cncc-2ncn1 1.7824 1.5715 0.2109 0.015740
012 c1cc2cncc-2nnn1 1.9841 1.6190 0.3651 0.015592
013 c1cc2cnccnc-2c1 2.3242 2.1254 0.1988 0.012351
014 c1cc2cncncc-2c1 2.6679 2.4749 0.193 0.000629
015 c1cc2cncnnc-2c1 2.5999 2.1228 0.4771 0.002407
016 c1cc2cnnc-2ccn1 2.3925 2.1903 0.2022 0.020897
017 c1cc2cnnc-2cnn1 2.5129 2.0035 0.5094 0.002669
018 c1cc2cnnc-2ncn1 2.2882 2.0612 0.227 0.016330
019 c1cc2cnnc-2nnn1 2.1458 1.8425 0.3033 0.011169
020 c1cc2cnncnc-2c1 2.2517 1.8114 0.4403 0.011452
021 c1cc2cnncnc-2n1 2.3490 1.9014 0.4476 0.008745
022 c1cc2cnnncc-2c1 2.3051 1.6856 0.6195 0.000530
023 c1cc2cnnncc-2n1 2.7594 1.6785 1.0809 0.017165
024 c1cc2cnnnnc-2c1 2.9557 1.8479 1.1078 0.007038
025 c1cc2cnnnnc-2n1 3.0636 2.0440 1.0196 0.014693
026 c1cc2nccc-2cnn1 2.7866 2.3071 0.4795 0.001390
027 c1cc2nccc-2ncn1 2.5127 2.3359 0.1768 0.010493
028 c1cc2nccc-2nnn1 2.4367 2.0022 0.4345 0.006191
029 c1cc2nccnnc-2c1 2.2191 1.9658 0.2533 0.004556
030 c1cc2ncnc-2ccn1 3.0759 2.6764 0.3995 0.015079
031 c1cc2ncnc-2cnn1 2.7178 2.1726 0.5452 0.001688
032 c1cc2ncnc-2ncn1 2.9908 2.6811 0.3097 0.016203
033 c1cc2ncnc-2nnn1 2.6595 2.0310 0.6285 0.009417
034 c1cc2ncncnc-2c1 1.9577 1.7791 0.1786 0.009889
035 c1cc2ncnncc-2n1 2.2529 1.7348 0.5181 0.008863
036 c1cc2ncnnnc-2c1 1.9650 1.6829 0.2821 0.010019
037 c1cc2nncc-2cnn1 2.3599 1.8077 0.5522 0.008530
038 c1cc2nncc-2ncn1 2.2522 2.0150 0.2372 0.020370
039 c1cc2nncc-2nnn1 2.5396 1.9596 0.58 0.014248
040 c1cc2nncnnc-2c1 2.3428 1.8965 0.4463 0.000437
041 c1cc2nnnc-2ccn1 2.7771 2.6065 0.1706 0.025256
042 c1cc2nnnc-2cnn1 2.3809 1.7614 0.6195 0.011366
043 c1cc2nnnc-2ncn1 2.4803 2.0903 0.39 0.000069
044 c1cc2nnnc-2nnn1 2.5104 2.0053 0.5051 0.012428
