NUM SMILES S0S1 S0T1 S1T1 F12
045 c1cc2nnncnc-2n1 2.3025 1.8813 0.4212 0.014515
046 c1cc2nnnncc-2n1 2.8539 1.8546 0.9993 0.003541
047 c1cc2nnnnnc-2c1 3.2025 2.6079 0.5946 0.000004
048 c1cc2nnnnnc-2n1 3.1644 2.6171 0.5473 0.000026
049 c1ccc2cccc-2cc1 2.3314 2.2764 0.055 0.007616
050 c1ccc2cccc-2nc1 2.1926 2.0855 0.1071 0.008336
051 c1ccc2ccnc-2cc1 2.7388 2.3939 0.3449 0.010408
052 c1ccc2ccnc-2nc1 2.6063 2.2832 0.3231 0.018651
053 c1ccc2cncc-2cc1 2.0824 1.9977 0.0847 0.012890
054 c1ccc2cncc-2nc1 1.9088 1.7797 0.1291 0.011662
055 c1ccc2cnnc-2cc1 2.5379 2.4111 0.1268 0.014354
056 c1ccc2cnnc-2nc1 2.3924 2.2491 0.1433 0.011445
057 c1ccc2nccc-2nc1 2.6181 2.3018 0.3163 0.004836
058 c1ccc2ncnc-2cc1 3.1876 2.5873 0.6003 0.005684
059 c1ccc2ncnc-2nc1 3.0769 2.5037 0.5732 0.009260
060 c1ccc2nncc-2nc1 2.3655 2.1935 0.172 0.014205
061 c1ccc2nnnc-2cc1 2.9402 2.6108 0.3294 0.015681
062 c1ccc2nnnc-2nc1 2.7588 2.4038 0.355 0.014879
063 c1cnc2cccc-2nc1 2.0623 1.9612 0.1011 0.005359
064 c1cnc2ccnc-2cn1 2.6974 2.2861 0.4113 0.004895
065 c1cnc2ccnc-2nc1 2.4977 2.2650 0.2327 0.007309
066 c1cnc2ccnc-2nn1 2.6590 2.2227 0.4363 0.002696
067 c1cnc2cncc-2cn1 2.0460 1.8707 0.1753 0.014532
068 c1cnc2cncc-2nc1 1.7404 1.6052 0.1352 0.008911
069 c1cnc2cncc-2nn1 2.0277 1.8106 0.2171 0.006404
070 c1cnc2cnnc-2cn1 2.4914 2.2440 0.2474 0.016631
071 c1cnc2cnnc-2nc1 2.2496 1.9404 0.3092 0.008873
072 c1cnc2cnnc-2nn1 2.2701 1.7808 0.4893 0.007652
073 c1cnc2nccc-2cn1 2.7139 2.2580 0.4559 0.032327
074 c1cnc2nccc-2nn1 2.5844 2.1171 0.4673 0.010769
075 c1cnc2ncnc-2cn1 3.1349 2.4219 0.713 0.022435
076 c1cnc2ncnc-2nc1 2.9459 2.5381 0.4078 0.000246
077 c1cnc2ncnc-2nn1 2.7123 2.1155 0.5968 0.005498
078 c1cnc2nncc-2cn1 2.4568 2.3197 0.1371 0.015533
079 c1cnc2nncc-2nn1 2.6209 2.0761 0.5448 0.001763
080 c1cnc2nnnc-2cn1 2.7663 2.3456 0.4207 0.000005
081 c1cnc2nnnc-2nc1 2.2704 1.8742 0.3962 0.000009
082 c1cnc2nnnc-2nn1 2.5833 1.8107 0.7726 0.002478
083 c1cncc2cccc-2c1 2.4867 2.3643 0.1224 0.005893
084 c1cncc2ccnc-2c1 2.8750 2.4313 0.4437 0.016244
085 c1cncc2cncc-2c1 2.2452 2.1929 0.0523 0.010007
086 c1cncc2cnnc-2c1 2.6787 2.5895 0.0892 0.010532
087 c1cncc2nccc-2c1 2.8645 2.4679 0.3966 0.002667
088 c1cncc2ncnc-2c1 3.2975 2.6051 0.6924 0.005605
089 c1cncc2nncc-2c1 2.6735 2.5204 0.1531 0.010190
090 c1cncc2nnnc-2c1 3.0667 2.6545 0.4122 0.010368
091 c1cnnc2cccc-2c1 2.3786 2.0628 0.3158 0.003614
092 c1cnnc2ccnc-2c1 2.7333 2.2040 0.5293 0.002836
093 c1cnnc2cncc-2c1 2.1332 1.9555 0.1777 0.008904
094 c1cnnc2cnnc-2c1 2.6373 2.1107 0.5266 0.006492
095 c1cnnc2nccc-2c1 2.7554 2.3105 0.4449 0.000284
096 c1cnnc2ncnc-2c1 2.7017 2.1515 0.5502 0.002131
097 c1cnnc2nncc-2c1 2.4056 1.9208 0.4848 0.011859
098 c1cnnc2nnnc-2c1 2.5692 1.8740 0.6952 0.010128
099 c1nc2cnnncc-2n1 3.0033 1.6707 1.3326 0.070763
100 c1nc2cnnnnc-2n1 2.9301 1.8415 1.0886 0.014518
101 c1nc2nnnnnc-2n1 3.2127 2.6980 0.5147 0.000033
102 c1ncc2ccnc-2cn1 3.0316 2.5606 0.471 0.004643
103 c1ncc2ccnc-2nn1 2.6157 1.9501 0.6656 0.011865
104 c1ncc2cncc-2cn1 2.4368 2.4661 -0.0293 0.003660
105 c1ncc2cncc-2nn1 2.5887 1.9482 0.6405 0.010597
106 c1ncc2cnnc-2cn1 2.8881 2.7347 0.1534 0.001344
107 c1ncc2cnnc-2nn1 2.4191 1.7042 0.7149 0.013134
108 c1ncc2cnnncc1-2 2.0725 1.5990 0.4735 0.001976
109 c1ncc2nccc-2nn1 2.5595 1.9563 0.6032 0.005917
110 c1ncc2ncnc-2cn1 3.4433 2.6899 0.7534 0.000700
111 c1ncc2ncnc-2nn1 2.5782 1.8234 0.7548 0.012005
112 c1ncc2nncc-2nn1 2.6784 2.0068 0.6716 0.007047
113 c1ncc2nnnc-2cn1 3.2969 2.7791 0.5178 0.000803
114 c1ncc2nnnc-2nn1 2.5668 1.7637 0.8031 0.011760
115 c1ncc2nnnncc1-2 2.9602 1.8409 1.1193 0.004329
116 c1ncc2nnnnnc1-2 3.4238 2.6682 0.7556 0.000026
117 c1ncnc2cncc-2n1 1.6267 1.4083 0.2184 0.013194
118 c1ncnc2nccc-2n1 2.4064 2.1970 0.2094 0.012573
119 c1ncnc2ncnc-2n1 2.5619 2.2930 0.2689 0.001037
120 c1ncnc2nncc-2n1 2.0162 1.6873 0.3289 0.000536
121 c1ncnc2nnnc-2n1 1.9622 1.5967 0.3655 0.000158
122 c1nnc2ccnc-2nn1 2.5845 1.8751 0.7094 0.015702
123 c1nnc2cncc-2nn1 2.2222 1.6717 0.5505 0.002637
124 c1nnc2cnnc-2nn1 2.2081 1.6585 0.5496 0.014650
125 c1nnc2ncnc-2nn1 2.4909 1.7711 0.7198 0.009646
126 c1nnc2nnnc-2nn1 2.4483 1.7069 0.7414 0.018952
127 c1nnc2nnnnnc1-2 3.5694 3.0453 0.5241 0.000039
128 c1nncc2cncc-2n1 1.9810 1.5131 0.4679 0.015063
129 c1nncc2cnnc-2n1 1.9714 1.3793 0.5921 0.008138
130 c1nncc2ncnc-2n1 2.3104 1.7644 0.546 0.009085
131 c1nncc2nncc-2n1 2.1739 1.7604 0.4135 0.004406
132 c1nncc2nnnc-2n1 1.9744 1.3639 0.6105 0.009069
133 c1nnnc2cncc-2n1 2.3039 1.6159 0.688 0.008099
134 c1nnnc2cnnc-2n1 2.4488 1.9141 0.5347 0.005939
135 c1nnnc2nccc-2n1 2.4817 1.9658 0.5159 0.007495
136 c1nnnc2ncnc-2n1 2.6011 1.9957 0.6054 0.005798
137 c1nnnc2nncc-2n1 2.0641 1.6556 0.4085 0.000967
138 c1nnnc2nnnc-2n1 2.3112 1.8538 0.4574 0.003804
139 c1nnncc2nncc1-2 2.6779 1.6384 1.0395 0.020599
140 c1nnncc2nnnc1-2 2.7368 1.5639 1.1729 0.049758
141 c1nnnnc2cnnc1-2 2.8273 2.2391 0.5882 0.002099
142 c1nnnnc2nncc1-2 2.4061 1.8381 0.568 0.001099
143 c1nnnnc2nnnc1-2 2.7466 1.9150 0.8316 0.001056
144 n1nnc2nnnc-2nn1 3.6003 2.9869 0.6134 0.000079
