NUM SMILES S0S1 S0T1 S1T1 F12
050 c1ccc2cccc-2nc1 2.390 1.892 0.498 0.017447407
051 c1ccc2ccnc-2cc1 2.984 2.365 0.619 0.019677069
052 c1ccc2ccnc-2nc1 2.825 2.175 0.65 0.035215706
053 c1ccc2cncc-2cc1 2.329 1.894 0.435 0.024675568
054 c1ccc2cncc-2nc1 2.124 1.557 0.567 0.023911931
055 c1ccc2cnnc-2cc1 2.791 2.356 0.435 0.028050551
056 c1ccc2cnnc-2nc1 2.598 2.103 0.495 0.024251596
057 c1ccc2nccc-2nc1 2.829 2.252 0.577 0.010514276
058 c1ccc2ncnc-2cc1 3.462 2.529 0.933 0.009189016
059 c1ccc2ncnc-2nc1 3.322 2.413 0.909 0.017404021
060 c1ccc2nncc-2nc1 2.588 2.046 0.542 0.028121196
061 c1ccc2nnnc-2cc1 3.228 2.562 0.666 0.028911645
062 c1ccc2nnnc-2nc1 2.851 2.293 0.558 0.000271217
063 c1cnc2cccc-2nc1 2.238 1.683 0.555 0.012574756
064 c1cnc2ccnc-2cn1 2.923 2.243 0.68 0.008978357
065 c1cnc2ccnc-2nc1 2.691 2.151 0.54 0.015770960
066 c1cnc2ccnc-2nn1 2.778 2.155 0.623 0.001102405
067 c1cnc2cncc-2cn1 2.275 1.650 0.625 0.027915519
068 c1cnc2cncc-2nc1 1.931 1.279 0.652 0.019688558
069 c1cnc2cncc-2nn1 2.155 1.592 0.563 0.012595991
070 c1cnc2cnnc-2cn1 2.731 2.103 0.628 0.032463819
071 c1cnc2cnnc-2nc1 2.286 1.866 0.42 0.000000012
072 c1cnc2cnnc-2nn1 2.387 1.691 0.696 0.000534448
073 c1cnc2nccc-2cn1 2.949 2.117 0.832 0.060970920
074 c1cnc2nccc-2nn1 2.781 2.027 0.754 0.019737143
075 c1cnc2ncnc-2cn1 3.382 2.313 1.069 0.002908678
076 c1cnc2ncnc-2nc1 2.993 2.492 0.501 0.000398778
077 c1cnc2ncnc-2nn1 2.736 2.107 0.629 0.005527738
078 c1cnc2nncc-2cn1 2.683 2.159 0.524 0.029570526
079 c1cnc2nncc-2nn1 2.645 1.992 0.653 0.008628703
080 c1cnc2nnnc-2cn1 2.809 2.251 0.558 0.000069771
081 c1cnc2nnnc-2nc1 2.240 2.079 0.161 0.000135299
082 c1cnc2nnnc-2nn1 2.531 1.656 0.875 0.006745894
083 c1cncc2cccc-2c1 2.728 2.353 0.375 0.011333703
084 c1cncc2ccnc-2c1 3.135 2.422 0.713 0.029145114
085 c1cncc2cncc-2c1 2.504 2.151 0.353 0.017782950
086 c1cncc2cnnc-2c1 2.943 2.584 0.359 0.019306183
087 c1cncc2nccc-2c1 3.126 2.468 0.658 0.004579310
088 c1cncc2ncnc-2c1 3.593 2.570 1.023 0.011261771
089 c1cncc2nncc-2c1 2.946 2.519 0.427 0.019286863
090 c1cncc2nnnc-2c1 3.370 2.647 0.723 0.018698749
091 c1cnnc2cccc-2c1 2.575 1.969 0.606 0.008652178
092 c1cnnc2ccnc-2c1 2.769 2.152 0.617 0.003031682
093 c1cnnc2cncc-2c1 2.335 1.820 0.515 0.016598769
094 c1cnnc2cnnc-2c1 2.625 2.110 0.515 0.009272699
095 c1cnnc2nccc-2c1 2.741 2.288 0.453 0.001605675
096 c1cnnc2ncnc-2c1 2.698 2.157 0.541 0.003449221
097 c1cnnc2nncc-2c1 2.462 1.867 0.595 0.010688710
098 c1cnnc2nnnc-2c1 2.509 1.805 0.704 0.008247116
099 c1nc2cnnncc-2n1 2.868 1.423 1.445 0.069525015
100 c1nc2cnnnnc-2n1 2.883 1.525 1.358 0.025111066
101 c1nc2nnnnnc-2n1 3.086 2.267 0.819 0.000036246
102 c1ncc2ccnc-2cn1 3.311 2.597 0.714 0.007743940
103 c1ncc2ccnc-2nn1 2.578 1.847 0.731 0.008336199
104 c1ncc2cncc-2cn1 2.713 2.470 0.243 0.005015237
105 c1ncc2cncc-2nn1 2.623 1.794 0.829 0.011333947
106 c1ncc2cnnc-2cn1 3.177 2.796 0.381 0.001975733
107 c1ncc2cnnc-2nn1 2.404 1.588 0.816 0.008477089
108 c1ncc2cnnncc1-2 2.318 1.365 0.953 0.004168777
109 c1ncc2nccc-2nn1 2.544 1.918 0.626 0.006270643
110 c1ncc2ncnc-2cn1 3.517 2.701 0.816 0.000039088
111 c1ncc2ncnc-2nn1 2.542 1.701 0.841 0.009718592
112 c1ncc2nncc-2nn1 2.658 1.896 0.762 0.007522547
113 c1ncc2nnnc-2cn1 3.568 2.874 0.694 0.004326004
114 c1ncc2nnnc-2nn1 2.535 1.606 0.929 0.009543496
115 c1ncc2nnnncc1-2 2.920 1.626 1.294 0.022503182
116 c1ncc2nnnnnc1-2 3.338 2.362 0.976 0.000005945
117 c1ncnc2cncc-2n1 1.810 0.994 0.816 0.027578451
118 c1ncnc2nccc-2n1 2.566 2.011 0.555 0.000978162
119 c1ncnc2ncnc-2n1 2.671 2.720 -0.049 0.000923650
120 c1ncnc2nncc-2n1 2.042 1.636 0.406 0.000912998
121 c1ncnc2nnnc-2n1 1.962 1.811 0.151 0.000044632
122 c1nnc2ccnc-2nn1 2.573 1.716 0.857 0.007824502
123 c1nnc2cncc-2nn1 2.327 1.517 0.81 0.002393895
124 c1nnc2cnnc-2nn1 2.498 1.456 1.042 0.016232914
125 c1nnc2ncnc-2nn1 2.465 1.579 0.886 0.007494198
126 c1nnc2nnnc-2nn1 2.551 1.447 1.104 0.004802294
127 c1nnc2nnnnnc1-2 3.438 2.696 0.742 0.000015412
128 c1nncc2cncc-2n1 2.125 1.232 0.893 0.038651387
129 c1nncc2cnnc-2n1 1.979 1.306 0.673 0.010607286
130 c1nncc2ncnc-2n1 2.322 1.790 0.532 0.008406903
131 c1nncc2nncc-2n1 2.181 1.731 0.45 0.009095059
132 c1nncc2nnnc-2n1 1.972 1.282 0.69 0.010327140
133 c1nnnc2cncc-2n1 2.214 1.286 0.928 0.019266503
134 c1nnnc2cnnc-2n1 2.505 1.633 0.872 0.012716138
135 c1nnnc2nccc-2n1 2.544 1.700 0.844 0.015860815
136 c1nnnc2ncnc-2n1 2.749 1.731 1.018 0.019894699
137 c1nnnc2nncc-2n1 2.128 1.364 0.764 0.013562598
138 c1nnnc2nnnc-2n1 2.277 1.632 0.645 0.005221896
139 c1nnncc2nncc1-2 2.693 1.386 1.307 0.042944806
140 c1nnncc2nnnc1-2 2.702 1.317 1.385 0.054982521
141 c1nnnnc2cnnc1-2 2.803 1.949 0.854 0.002653449
142 c1nnnnc2nncc1-2 2.349 1.490 0.859 0.001659658
143 c1nnnnc2nnnc1-2 2.667 1.548 1.119 0.000485431
144 n1nnc2nnnc-2nn1 3.450 2.554 0.896 0.000053125
