NUM SMILES S0S1 S0T1 S1T1 F12
001 c1cc2ccnc-2ccn1 2.841 2.281 0.56 0.032049750
002 c1cc2ccnc-2cnn1 2.653 2.238 0.415 0.003488197
003 c1cc2ccnc-2ncn1 2.706 2.051 0.655 0.042341168
004 c1cc2ccnc-2nnn1 2.547 1.771 0.776 0.025662061
005 c1cc2ccnccc-2c1 2.408 1.859 0.549 0.025594909
006 c1cc2ccncnc-2c1 2.263 1.623 0.64 0.024762289
007 c1cc2ccnncc-2c1 2.605 1.979 0.626 0.020419521
008 c1cc2ccnnnc-2c1 2.262 1.708 0.554 0.015179076
009 c1cc2cncc-2ccn1 2.158 1.520 0.638 0.035093326
010 c1cc2cncc-2cnn1 2.391 1.717 0.674 0.029493270
011 c1cc2cncc-2ncn1 1.982 1.237 0.745 0.032344097
012 c1cc2cncc-2nnn1 2.073 1.336 0.737 0.028841003
013 c1cc2cnccnc-2c1 2.534 1.922 0.612 0.024587325
014 c1cc2cncncc-2c1 2.927 2.467 0.46 0.000789142
015 c1cc2cncnnc-2c1 2.692 2.000 0.692 0.007223393
016 c1cc2cnnc-2ccn1 2.623 2.020 0.603 0.041843350
017 c1cc2cnnc-2cnn1 2.479 2.078 0.401 0.002690353
018 c1cc2cnnc-2ncn1 2.467 1.818 0.649 0.034051776
019 c1cc2cnnc-2nnn1 2.254 1.648 0.606 0.019760541
020 c1cc2cnncnc-2c1 2.416 1.554 0.862 0.004158151
021 c1cc2cnncnc-2n1 2.408 1.863 0.545 0.016599129
022 c1cc2cnnncc-2c1 2.533 1.494 1.039 0.001745054
023 c1cc2cnnncc-2n1 2.806 1.451 1.355 0.056754374
024 c1cc2cnnnnc-2c1 2.884 1.620 1.264 0.021742145
025 c1cc2cnnnnc-2n1 3.039 1.725 1.314 0.018924243
026 c1cc2nccc-2cnn1 2.764 2.305 0.459 0.003312908
027 c1cc2nccc-2ncn1 2.709 2.203 0.506 0.020109711
028 c1cc2nccc-2nnn1 2.582 1.823 0.759 0.009960775
029 c1cc2nccnnc-2c1 2.384 1.845 0.539 0.008659476
030 c1cc2ncnc-2ccn1 3.332 2.616 0.716 0.027711450
031 c1cc2ncnc-2cnn1 2.679 2.239 0.44 0.003708812
032 c1cc2ncnc-2ncn1 3.115 2.588 0.527 0.001732697
033 c1cc2ncnc-2nnn1 2.778 1.794 0.984 0.014690994
034 c1cc2ncncnc-2c1 2.128 1.445 0.683 0.019522278
035 c1cc2ncnncc-2n1 2.295 1.744 0.551 0.010580628
036 c1cc2ncnnnc-2c1 2.096 1.383 0.713 0.016901786
037 c1cc2nncc-2cnn1 2.344 1.857 0.487 0.006347018
038 c1cc2nncc-2ncn1 2.454 1.771 0.683 0.039229358
039 c1cc2nncc-2nnn1 2.543 1.682 0.861 0.028916880
040 c1cc2nncnnc-2c1 2.468 1.775 0.693 0.000000116
041 c1cc2nnnc-2ccn1 3.048 2.472 0.576 0.048467866
042 c1cc2nnnc-2cnn1 2.338 1.784 0.554 0.009610875
043 c1cc2nnnc-2ncn1 2.483 2.211 0.272 0.000000489
044 c1cc2nnnc-2nnn1 2.536 1.742 0.794 0.023322036
045 c1cc2nnncnc-2n1 2.452 1.656 0.796 0.025794147
046 c1cc2nnnncc-2n1 2.845 1.596 1.249 0.020185988
047 c1cc2nnnnnc-2c1 3.115 2.306 0.809 0.000001944
048 c1cc2nnnnnc-2n1 3.064 2.247 0.817 0.000024512
049 c1ccc2cccc-2cc1 2.558 2.192 0.366 0.015669298
