NUM SMILES S0S1 S0T1 S1T1 F12
001 c1cc2ccnc-2ccn1 2.527537 2.452744 0.074793 0.018779
002 c1cc2ccnc-2cnn1 2.275501 1.893764 0.381737 0.000867
003 c1cc2ccnc-2ncn1 2.386806 2.284492 0.102314 0.023850
004 c1cc2ccnc-2nnn1 2.232829 1.982009 0.25082 0.013572
005 c1cc2ccnccc-2c1 2.184535 2.115865 0.06867 0.014417
006 c1cc2ccncnc-2c1 2.042375 1.950600 0.091775 0.014701
007 c1cc2ccnncc-2c1 2.265698 1.931508 0.33419 0.000705
008 c1cc2ccnnnc-2c1 2.013008 1.874482 0.138526 0.009796
009 c1cc2cncc-2ccn1 1.928977 1.840886 0.088091 0.017887
010 c1cc2cncc-2cnn1 1.993161 1.666228 0.326933 0.000372
011 c1cc2cncc-2ncn1 1.783379 1.669632 0.113747 0.016780
012 c1cc2cncc-2nnn1 1.849230 1.575985 0.273245 0.015275
013 c1cc2cnccnc-2c1 2.325808 2.255135 0.070673 0.012771
014 c1cc2cncncc-2c1 2.595099 2.711402 -0.116303 0.002359
015 c1cc2cncnnc-2c1 2.143971 1.849692 0.294279 0.001721
016 c1cc2cnnc-2ccn1 2.290323 2.202430 0.087893 0.021389
017 c1cc2cnnc-2cnn1 2.008315 1.679600 0.328715 0.002853
018 c1cc2cnnc-2ncn1 1.910856 1.695764 0.215092 0.000000
019 c1cc2cnnc-2nnn1 1.906812 1.755258 0.151554 0.010464
020 c1cc2cnncnc-2c1 1.817323 1.535879 0.281444 0.002587
021 c1cc2cnncnc-2n1 1.857888 1.566846 0.291042 0.003932
022 c1cc2cnnncc-2c1 2.161456 1.701126 0.46033 0.000969
023 c1cc2cnnncc-2n1 2.532038 1.736216 0.795822 0.035763
024 c1cc2cnnnnc-2c1 2.504089 1.887586 0.616503 0.003295
025 c1cc2cnnnnc-2n1 2.431332 1.902134 0.529198 0.030666
026 c1cc2nccc-2cnn1 2.327832 1.984237 0.343595 0.000808
027 c1cc2nccc-2ncn1 2.373402 2.277723 0.095679 0.014008
028 c1cc2nccc-2nnn1 2.225788 2.090072 0.135716 0.008562
029 c1cc2nccnnc-2c1 2.207864 2.123301 0.084563 0.008540
030 c1cc2ncnc-2ccn1 2.934981 2.932120 0.002861 0.019965
031 c1cc2ncnc-2cnn1 2.299183 1.907177 0.392006 0.000942
032 c1cc2ncnc-2ncn1 2.557964 2.326683 0.231281 0.000778
033 c1cc2ncnc-2nnn1 2.374837 2.070667 0.30417 0.011364
034 c1cc2ncncnc-2c1 1.871073 1.782694 0.088379 0.012717
035 c1cc2ncnncc-2n1 1.880574 1.515443 0.365131 0.004814
