NUM SMILES S0S1 S0T1 S1T1 F12
036 c1cc2ncnnnc-2c1 1.862330 1.679109 0.183221 0.012684
037 c1cc2nncc-2cnn1 1.933100 1.560953 0.372147 0.003553
038 c1cc2nncc-2ncn1 1.888690 1.664933 0.223757 0.000024
039 c1cc2nncc-2nnn1 2.181004 1.835258 0.345746 0.006945
040 c1cc2nncnnc-2c1 1.860176 1.692793 0.167383 0.000000
041 c1cc2nnnc-2ccn1 2.640786 2.410860 0.229926 0.028393
042 c1cc2nnnc-2cnn1 1.920498 1.530313 0.390185 0.008265
043 c1cc2nnnc-2ncn1 2.018898 1.726518 0.29238 0.000053
044 c1cc2nnnc-2nnn1 2.117068 1.838465 0.278603 0.009108
045 c1cc2nnncnc-2n1 2.044996 1.818341 0.226655 0.006899
046 c1cc2nnnncc-2n1 2.437425 1.909203 0.528222 0.002692
047 c1cc2nnnnnc-2c1 2.863741 2.710369 0.153372 0.000091
048 c1cc2nnnnnc-2n1 2.861836 2.725947 0.135889 0.000087
049 c1ccc2cccc-2cc1 2.310247 2.313533 -0.003286 0.009821
050 c1ccc2cccc-2nc1 2.186586 2.152869 0.033717 0.010503
051 c1ccc2ccnc-2cc1 2.667246 2.608834 0.058412 0.012972
052 c1ccc2ccnc-2nc1 2.538294 2.453706 0.084588 0.019460
053 c1ccc2cncc-2cc1 2.047940 2.039768 0.008172 0.013954
054 c1ccc2cncc-2nc1 1.901707 1.859991 0.041716 0.013060
055 c1ccc2cnnc-2cc1 2.435218 2.404960 0.030258 0.015624
056 c1ccc2cnnc-2nc1 2.117278 1.942880 0.174398 0.000112
057 c1ccc2nccc-2nc1 2.523063 2.488265 0.034798 0.008298
058 c1ccc2ncnc-2cc1 3.081737 2.939136 0.142601 0.010538
059 c1ccc2ncnc-2nc1 2.940457 2.747857 0.1926 0.013092
060 c1ccc2nncc-2nc1 2.109171 1.913784 0.195387 0.000022
061 c1ccc2nnnc-2cc1 2.820365 2.672698 0.147667 0.019518
062 c1ccc2nnnc-2nc1 2.347452 2.059003 0.288449 0.000051
063 c1cnc2cccc-2nc1 2.038842 2.004347 0.034495 0.008303
064 c1cnc2ccnc-2cn1 2.614501 2.573732 0.040769 0.007885
065 c1cnc2ccnc-2nc1 2.382784 2.243247 0.139537 0.010201
066 c1cnc2ccnc-2nn1 2.292626 2.014160 0.278466 0.002298
067 c1cnc2cncc-2cn1 2.022688 1.964874 0.057814 0.015370
068 c1cnc2cncc-2nc1 1.752627 1.701960 0.050667 0.011008
069 c1cnc2cncc-2nn1 1.951449 1.847240 0.104209 0.008679
070 c1cnc2cnnc-2cn1 2.083195 1.883291 0.199904 0.000000
071 c1cnc2cnnc-2nc1 1.713938 1.488901 0.225037 0.000002
072 c1cnc2cnnc-2nn1 1.826959 1.559878 0.267081 0.000558
073 c1cnc2nccc-2cn1 2.678670 2.500015 0.178655 0.030262
074 c1cnc2nccc-2nn1 2.224427 1.999089 0.225338 0.000029
075 c1cnc2ncnc-2cn1 2.892747 2.600865 0.291882 0.000657
076 c1cnc2ncnc-2nc1 2.522497 2.286639 0.235858 0.000183
077 c1cnc2ncnc-2nn1 2.229300 1.898582 0.330718 0.004810
078 c1cnc2nncc-2cn1 2.054599 1.873082 0.181517 0.000070
079 c1cnc2nncc-2nn1 2.058737 1.759676 0.299061 0.000872
080 c1cnc2nnnc-2cn1 2.237297 1.958849 0.278448 0.000001
081 c1cnc2nnnc-2nc1 1.823120 1.518193 0.304927 0.000004
082 c1cnc2nnnc-2nn1 2.119083 1.670911 0.448172 0.002270
083 c1cncc2cccc-2c1 2.444729 2.482399 -0.03767 0.007885
084 c1cncc2ccnc-2c1 2.797913 2.677948 0.119965 0.017711
085 c1cncc2cncc-2c1 2.179586 2.218133 -0.038547 0.011546
086 c1cncc2cnnc-2c1 2.549684 2.421211 0.128473 0.013101
087 c1cncc2nccc-2c1 2.783471 2.749854 0.033617 0.005314
088 c1cncc2ncnc-2c1 3.197830 2.951405 0.246425 0.008303
089 c1cncc2nncc-2c1 2.540605 2.411741 0.128864 0.000154
090 c1cncc2nnnc-2c1 2.818504 2.613091 0.205413 0.000201
091 c1cnnc2cccc-2c1 2.357828 2.106055 0.251773 0.005753
092 c1cnnc2ccnc-2c1 2.322111 2.010197 0.311914 0.000186
093 c1cnnc2cncc-2c1 2.079216 1.933539 0.145677 0.010558
094 c1cnnc2cnnc-2c1 2.171895 1.828316 0.343579 0.002238
095 c1cnnc2nccc-2c1 2.326980 2.023436 0.303544 0.000095
096 c1cnnc2ncnc-2c1 2.270503 1.923874 0.346629 0.001568
097 c1cnnc2nncc-2c1 2.104706 1.733238 0.371468 0.004230
098 c1cnnc2nnnc-2c1 2.118276 1.689411 0.428865 0.007849
099 c1nc2cnnncc-2n1 2.674485 1.743308 0.931177 0.070297
100 c1nc2cnnnnc-2n1 2.345173 1.763538 0.581635 0.029740
101 c1nc2nnnnnc-2n1 3.080021 2.876825 0.203196 0.000053
102 c1ncc2ccnc-2cn1 2.931669 2.823681 0.107988 0.005839
103 c1ncc2ccnc-2nn1 2.162227 1.748572 0.413655 0.010707
104 c1ncc2cncc-2cn1 2.338533 2.454883 -0.11635 0.005513
105 c1ncc2cncc-2nn1 2.101634 1.742997 0.358637 0.006974
106 c1ncc2cnnc-2cn1 2.607455 2.488719 0.118736 0.001202
107 c1ncc2cnnc-2nn1 1.992841 1.534978 0.457863 0.010492
108 c1ncc2cnnncc1-2 1.867929 1.523317 0.344612 0.002266
109 c1ncc2nccc-2nn1 2.153620 1.762360 0.39126 0.004899
110 c1ncc2ncnc-2cn1 3.072074 3.018139 0.053935 0.000055
111 c1ncc2ncnc-2nn1 2.169035 1.689277 0.479758 0.011542
112 c1ncc2nncc-2nn1 2.201051 1.769624 0.431427 0.005096
113 c1ncc2nnnc-2cn1 2.872527 2.666386 0.206141 0.005226
114 c1ncc2nnnc-2nn1 2.130835 1.617059 0.513776 0.009879
115 c1ncc2nnnncc1-2 2.409233 1.810098 0.599135 0.001488
116 c1ncc2nnnnnc1-2 2.892806 2.732662 0.160144 0.000126
117 c1ncnc2cncc-2n1 1.597000 1.480580 0.11642 0.015220
118 c1ncnc2nccc-2n1 1.973913 1.793296 0.180617 0.000623
119 c1ncnc2ncnc-2n1 2.085207 1.892237 0.19297 0.001052
120 c1ncnc2nncc-2n1 1.490638 1.254814 0.235824 0.000373
121 c1ncnc2nnnc-2n1 1.483979 1.208518 0.275461 0.000218
122 c1nnc2ccnc-2nn1 2.069759 1.726135 0.343624 0.012461
123 c1nnc2cncc-2nn1 1.757352 1.549178 0.208174 0.003597
124 c1nnc2cnnc-2nn1 1.660207 1.423669 0.236538 0.009359
125 c1nnc2ncnc-2nn1 2.034088 1.631794 0.402294 0.010838
126 c1nnc2nnnc-2nn1 1.880135 1.568170 0.311965 0.013972
127 c1nnc2nnnnnc1-2 3.222571 3.078402 0.144169 0.000290
128 c1nncc2cncc-2n1 1.541833 1.267203 0.27463 0.004824
129 c1nncc2cnnc-2n1 1.579475 1.205535 0.37394 0.002892
130 c1nncc2ncnc-2n1 1.893140 1.521261 0.371879 0.005613
131 c1nncc2nncc-2n1 1.654257 1.390816 0.263441 0.002904
132 c1nncc2nnnc-2n1 1.538907 1.167082 0.371825 0.004585
133 c1nnnc2cncc-2n1 1.993759 1.536126 0.457633 0.003779
134 c1nnnc2cnnc-2n1 1.915245 1.621562 0.293683 0.003659
135 c1nnnc2nccc-2n1 2.153500 1.830054 0.323446 0.002373
136 c1nnnc2ncnc-2n1 2.168306 1.849970 0.318336 0.001484
137 c1nnnc2nncc-2n1 1.611232 1.344734 0.266498 0.000491
138 c1nnnc2nnnc-2n1 1.800957 1.518886 0.282071 0.002742
139 c1nnncc2nncc1-2 2.143601 1.580157 0.563444 0.014905
140 c1nnncc2nnnc1-2 2.221317 1.541767 0.67955 0.025734
141 c1nnnnc2cnnc1-2 2.335188 2.009915 0.325273 0.003916
142 c1nnnnc2nncc1-2 2.066957 1.716678 0.350279 0.004080
143 c1nnnnc2nnnc1-2 2.298362 1.831922 0.46644 0.007786
144 n1nnc2nnnc-2nn1 3.410321 3.150147 0.260174 0.000124
